ablation,interpretation,mean_mean_success,mean_mean_seam_failure_rate,mean_mean_barrier_violation_rate,mean_mean_basin_alignment,mean_mean_descent_continuity,mean_mean_damage_rate,mean_mean_composition_cost,mean_mean_energy_model_error,mean_mean_risk_calibration_error,mean_mean_abstention_rate,mean_mean_predicted_seam_risk,mean_mean_realized_seam_breach,mean_mean_composition_utility,ci95_mean_success,ci95_mean_seam_failure_rate,ci95_mean_barrier_violation_rate,ci95_mean_basin_alignment,ci95_mean_descent_continuity,ci95_mean_damage_rate,ci95_mean_composition_cost,ci95_mean_energy_model_error,ci95_mean_risk_calibration_error,ci95_mean_abstention_rate,ci95_mean_predicted_seam_risk,ci95_mean_realized_seam_breach,ci95_mean_composition_utility,rows
full_barrier_certified_energy_composer,all v5 components,0.789844,0.068927,0.085425,0.757458,0.736313,0.071370,0.190774,0.111091,0.051484,0.105582,0.102629,0.095313,0.873852,0.016355,0.000137,0.000129,0.000283,0.000347,0.000094,0.000127,0.000122,0.000108,0.000104,0.000180,0.000149,0.016334,10
minus_terminal_sampler,removes terminal-state sampler,0.761719,0.069144,0.085395,0.717381,0.736016,0.071369,0.190843,0.117243,0.051747,0.105527,0.102919,0.095560,0.830362,0.010187,0.000184,0.000122,0.000472,0.000475,0.000109,0.000120,0.000089,0.000124,0.000107,0.000230,0.000242,0.010253,10
minus_contact_mode_guard,removes contact-mode transition guard,0.760938,0.086987,0.101886,0.757542,0.736217,0.071219,0.190836,0.112357,0.051675,0.105566,0.129832,0.120719,0.815345,0.008932,0.000143,0.000121,0.000256,0.000304,0.000077,0.000145,0.000109,0.000109,0.000167,0.000185,0.000282,0.008873,10
minus_high_energy_repair,does not repair high-energy seams,0.737240,0.082035,0.085280,0.750472,0.736273,0.071223,0.221579,0.112209,0.051529,0.110453,0.115668,0.108399,0.798687,0.015878,0.000122,0.000128,0.000205,0.000164,0.000077,0.000210,0.000148,0.000093,0.000133,0.000210,0.000149,0.015924,10
minus_descent_continuity,removes descent-continuity term,0.730729,0.069139,0.085363,0.757554,0.662437,0.071303,0.190845,0.111210,0.051649,0.105521,0.102718,0.095565,0.793867,0.011418,0.000142,0.000175,0.000371,0.000424,0.000094,0.000119,0.000136,0.000062,0.000116,0.000155,0.000145,0.011443,10
minus_barrier_height,removes barrier-height term,0.740365,0.088984,0.103764,0.757625,0.736059,0.071371,0.190844,0.112255,0.051577,0.105637,0.132777,0.123673,0.791429,0.012434,0.000173,0.000177,0.000268,0.000302,0.000079,0.000078,0.000109,0.000104,0.000116,0.000165,0.000210,0.012379,10
minus_basin_overlap,removes basin-overlap posterior,0.732812,0.069036,0.085375,0.687516,0.736214,0.071267,0.190686,0.121730,0.051831,0.105620,0.102942,0.095470,0.790589,0.011987,0.000222,0.000135,0.000247,0.000287,0.000097,0.000157,0.000189,0.000083,0.000139,0.000227,0.000159,0.012096,10
minus_fixed_risk_gate,removes fixed-risk acceptance screen,0.771875,0.099543,0.116760,0.757281,0.732759,0.079993,0.204889,0.113007,0.066805,0.091065,0.167666,0.152113,0.784243,0.015485,0.000150,0.000200,0.000345,0.000262,0.000069,0.000125,0.000164,0.000095,0.000060,0.000178,0.000183,0.015467,10
minus_calibration,removes risk calibration,0.738021,0.093063,0.109372,0.757428,0.734238,0.076664,0.190803,0.112629,0.060834,0.096724,0.150537,0.137553,0.771738,0.010100,0.000112,0.000116,0.000511,0.000238,0.000104,0.000133,0.000166,0.000085,0.000164,0.000145,0.000107,0.010295,10
compatibility_only_heuristic,uses compatibility without repair/certification,0.687500,0.094562,0.096305,0.657853,0.732229,0.081454,0.205884,0.126764,0.069634,0.095856,0.154516,0.140037,0.680292,0.006932,0.000187,0.000154,0.000241,0.000300,0.000091,0.000169,0.000129,0.000149,0.000117,0.000282,0.000196,0.006889,10
