budget,method,mean_coverage,ci95_coverage,mean_breach_rate,ci95_breach_rate,mean_gated_success,ci95_gated_success,mean_gated_utility,ci95_gated_utility,rows
0.100000,barrier_certified_energy_composer_v5,0.001042,0.001129,0.200000,0.261333,0.300000,0.299395,-0.373406,0.625332,10
0.100000,energy_compatibility_heuristic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,option_graph_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,oracle_basin_composer,0.978906,0.003762,0.000804,0.001120,0.898079,0.008541,1.067100,0.008438,10
0.100000,proposed_energy_landscape_composer_v4_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,stable_dmp_handoff,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.100000,tamp_feasibility_screen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,barrier_certified_energy_composer_v5,0.863021,0.003334,0.000302,0.000592,0.760108,0.014451,0.787443,0.014353,10
0.150000,energy_compatibility_heuristic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,option_graph_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,oracle_basin_composer,1.000000,0.000000,0.000000,0.000000,0.899479,0.008342,1.066682,0.008368,10
0.150000,proposed_energy_landscape_composer_v4_1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,stable_dmp_handoff,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.150000,tamp_feasibility_screen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.200000,barrier_certified_energy_composer_v5,1.000000,0.000000,0.000000,0.000000,0.761198,0.014892,0.777474,0.014751,10
0.200000,energy_compatibility_heuristic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.200000,option_graph_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.200000,oracle_basin_composer,1.000000,0.000000,0.000000,0.000000,0.899479,0.008342,1.066682,0.008368,10
0.200000,proposed_energy_landscape_composer_v4_1,0.062240,0.008420,0.000000,0.000000,0.642195,0.048370,0.561635,0.048057,10
0.200000,stable_dmp_handoff,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.200000,tamp_feasibility_screen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.250000,barrier_certified_energy_composer_v5,1.000000,0.000000,0.000000,0.000000,0.761198,0.014892,0.777474,0.014751,10
0.250000,energy_compatibility_heuristic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.250000,option_graph_planner,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.250000,oracle_basin_composer,1.000000,0.000000,0.000000,0.000000,0.899479,0.008342,1.066682,0.008368,10
0.250000,proposed_energy_landscape_composer_v4_1,0.934115,0.007418,0.000000,0.000000,0.680540,0.010966,0.543665,0.011188,10
0.250000,stable_dmp_handoff,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
0.250000,tamp_feasibility_screen,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,10
